34,Michael Koenen,TB,P,7,321,238,56,45.9,34.0,0,0,1,1,1,2,3,63,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,PRE,PUNTING,1
35,Robert Malone,NYG,P,6,304,238,67,50.7,39.7,0,0,1,2,0,1,4,66,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,PRE,PUNTING,1
36,Bryan Anger,JAC,P,9,405,366,61,45.0,40.7,0,0,1,4,0,1,7,39,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,PRE,PUNTING,1
37,Michael Palardy,STL,P,6,251,223,51,41.8,37.2,0,0,0,3,0,3,3,28,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,PRE,PUNTING,1
38,Will Johnson,HOU,P,5,211,184,55,42.2,36.8,0,0,1,3,1,2,1,7,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,PRE,PUNTING,1
39,Steven Clark,OAK,P,4,204,126,57,51.0,31.5,0,0,0,0,2,0,2,38,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,PRE,PUNTING,1
40,Kip Smith,PHI,P,3,133,116,52,44.3,38.7,0,0,0,1,0,0,3,17,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,PRE,PUNTING,1
41,Justin Manton,BAL,K,1,42,27,42,42.0,27.0,0,0,0,0,0,0,1,15,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,PRE,PUNTING,1
42,Blair Walsh,MIN,K,1,50,10,50,50.0,10.0,0,0,0,0,0,0,1,40,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=PRE&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2015,PRE,PUNTING,1
1,Marquette King,OAK,P,109,4930,4357,62,45.2,40.0,0,5,21,31,3,33,47,513,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
2,Bryan Anger,JAC,P,94,4464,3800,69,47.5,39.6,2,7,5,25,10,20,52,464,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
3,Spencer Lanning,CLE,P,93,4119,3644,59,44.3,39.2,0,5,11,25,9,26,42,295,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
4,Brett Kern,TEN,P,88,4118,3628,79,46.8,40.8,1,7,6,28,7,25,43,350,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
5,Dave Zastudil,ARI,P,11,487,429,53,44.3,39.0,0,2,0,1,1,2,6,38,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
6,Shane Lechler,HOU,P,83,3847,3249,71,46.3,38.7,1,4,13,27,10,24,32,398,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
7,Johnny Hekker,STL,P,80,3721,3429,61,46.5,42.3,1,10,10,33,5,27,28,192,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
8,Colton Schmidt,BUF,P,86,3692,3326,67,42.9,38.7,0,11,11,31,6,20,38,246,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
9,Tress Way,WAS,P,77,3659,3122,77,47.5,40.0,1,6,12,22,7,10,42,397,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
10,Steve Weatherford,NYG,P,80,3640,3129,71,45.5,38.6,1,5,15,25,6,17,37,391,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
11,Ryan Quigley,NYJ,P,78,3580,3150,69,45.9,39.9,1,12,9,23,9,23,25,250,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
12,Drew Butler,ARI,P,79,3328,2982,67,42.1,36.8,2,5,8,34,5,35,26,246,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
13,Kevin Huber,CIN,P,73,3419,3073,69,46.8,42.1,0,8,14,27,6,15,30,226,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
14,Andy Lee,SF,P,72,3369,2893,71,46.8,39.6,1,4,3,28,7,22,36,336,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
15,Donnie Jones,PHI,P,76,3331,2953,68,43.8,38.9,0,5,13,34,7,22,29,238,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
16,Jeff Locke,MIN,P,75,3318,2943,62,44.2,38.7,1,2,9,21,6,19,39,255,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
17,Mat McBriar,SD,P,13,610,460,58,46.9,35.4,0,1,0,1,1,1,10,130,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
18,Brad Nortman,CAR,P,72,3236,2701,72,44.9,36.5,2,6,13,26,5,20,28,435,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
19,Pat McAfee,IND,P,69,3221,2956,61,46.7,42.8,0,7,5,30,3,19,35,205,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
20,Dustin Colquitt,KC,P,71,3164,2874,69,44.6,40.5,0,4,13,31,5,20,29,190,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
21,Michael Koenen,TB,P,78,3154,2929,56,40.4,37.1,1,6,12,17,2,26,32,185,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
22,Sam Martin,DET,P,68,3138,2727,71,46.1,40.1,0,2,10,29,5,21,30,311,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
23,Pat O'Donnell,CHI,P,71,3107,2712,61,43.8,37.7,1,9,7,20,3,19,33,335,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
24,Mike Scifres,SD,P,55,2516,2180,72,45.7,38.9,1,7,9,21,6,12,21,216,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
25,Matt Bosher,ATL,P,67,3063,2733,66,45.7,40.8,0,6,3,27,4,28,26,250,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
26,Ryan Allen,NE,P,66,3060,2673,67,46.4,39.9,1,6,10,25,6,15,29,267,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
27,Britton Colquitt,DEN,P,69,3048,2597,65,44.2,37.6,0,6,7,25,4,19,33,371,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
28,Sam Koch,BAL,P,60,2841,2595,73,47.4,43.3,0,11,8,26,4,14,23,166,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
29,Thomas Morstead,NO,P,58,2690,2491,63,46.4,42.9,0,6,10,19,5,13,24,99,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
30,Brandon Fields,MIA,P,58,2688,2279,60,46.3,38.6,1,5,3,21,3,11,36,349,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
30,Jon Ryan,SEA,P,61,2688,2373,66,44.1,38.3,1,9,7,28,6,22,17,195,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
32,Brad Wing,PIT,P,61,2668,2367,74,43.7,38.8,0,3,9,20,4,18,27,221,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
33,Chris Jones,DAL,P,57,2586,2306,64,45.4,39.8,1,11,4,21,2,15,25,240,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
34,Tim Masthay,GB,P,49,2159,1888,63,44.1,37.0,2,5,8,14,4,10,22,191,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
35,Nick Novak,SD,K,6,240,220,51,40.0,36.7,0,0,0,1,0,2,4,20,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
36,Ben Roethlisberger,PIT,QB,0,0,0,--,--,0.0,1,0,0,0,0,0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,REG,PUNTING,1
1,Kevin Huber,CIN,P,8,380,345,62,47.5,43.1,0,1,0,3,0,2,5,35,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,POST,PUNTING,1
2,Drew Butler,ARI,P,9,313,313,52,34.8,34.8,0,1,2,1,0,5,1,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,POST,PUNTING,1
3,Britton Colquitt,DEN,P,6,244,237,48,40.7,39.5,0,2,1,1,0,0,3,7,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,POST,PUNTING,1
4,Jon Ryan,SEA,P,15,635,568,61,42.3,37.9,0,1,0,6,0,8,6,67,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,POST,PUNTING,1
5,Pat McAfee,IND,P,13,623,473,68,47.9,36.4,0,1,1,1,3,2,6,90,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,POST,PUNTING,1
6,Ryan Allen,NE,P,12,493,432,64,41.1,36.0,0,1,1,3,1,1,8,41,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,POST,PUNTING,1
7,Brad Nortman,CAR,P,8,306,277,49,38.3,34.6,0,0,1,4,1,5,1,9,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,POST,PUNTING,1
8,Chris Jones,DAL,P,6,289,267,60,48.2,44.5,0,0,1,3,1,2,2,2,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,POST,PUNTING,1
9,Sam Martin,DET,P,4,142,142,48,35.5,35.5,0,1,0,1,0,3,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2014&seasonType=POST&d-447263-n=2&d-447263-o=2&statisticCategory=PUNTING&conference=null&d-447263-p=1,2014,POST,PUNTING,1
