,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
16,Dustin Hopkins,WAS,K,25,28,89,1,54,0-0,0,7-7,100,9-9,100,8-7,88,4-2,50,39,40,98,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
16,Adam Vinatieri,IND,K,25,27,93,0,55,0-0,0,8-7,88,6-6,100,8-8,100,5-4,80,32,35,91,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
18,Mason Crosby,GB,K,24,28,86,1,56,1-1,100,7-7,100,4-4,100,11-8,73,5-4,80,36,36,100,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
18,Phil Dawson,SF,K,24,27,89,2,54,0-0,0,10-9,90,6-6,100,8-6,75,3-3,100,20,21,95,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
20,Connor Barth,TB,K,23,28,82,0,53,0-0,0,9-9,100,8-8,100,6-3,50,5-3,60,25,26,96,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
20,Dan Carpenter,BUF,K,23,27,85,0,52,0-0,0,5-5,100,9-8,89,8-7,88,5-3,60,34,40,85,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
20,Mike Nugent,CIN,K,23,28,82,1,52,0-0,0,6-6,100,6-5,83,13-10,77,3-2,67,48,49,98,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
23,Matt Prater,DET,K,22,24,92,0,59,0-0,0,3-3,100,9-8,89,6-6,100,6-5,83,36,39,92,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
24,Sebastian Janikowski,OAK,K,21,26,81,1,56,0-0,0,7-7,100,6-5,83,8-5,62,5-4,80,38,39,97,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
25,Greg Zuerlein,STL,K,20,30,67,3,61,1-1,100,2-2,100,10-9,90,8-5,62,9-3,33,26,28,93,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=FIELD_GOALS&conference=null&d-447263-p=1,2015,REG,FIELD_GOALS,1
