20,Chris Boswell,PIT,K,74,4713,1,63.7,26,35.1,47,22.6,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
20,Travis Coons,CLE,K,70,4459,1,63.7,27,38.6,42,21.3,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
22,Connor Barth,TB,K,64,4062,0,63.5,32,50.0,30,25.7,0,2,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
23,Mason Crosby,GB,K,80,5069,1,63.4,41,51.2,36,27.1,0,2,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
24,Dan Bailey,DAL,K,73,4620,0,63.3,49,67.1,23,23.9,1,2,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
24,Thomas Morstead,NO,P,23,1455,0,63.3,16,69.6,6,25.5,0,1,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
26,Nick Folk,NYJ,K,39,2466,0,63.2,13,33.3,24,23.2,0,2,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
26,Sebastian Janikowski,OAK,K,79,4990,1,63.2,44,55.7,33,22.9,1,2,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
28,Stephen Gostkowski,NE,K,99,6249,0,63.1,69,69.7,28,18.8,0,2,2,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
28,Sam Martin,DET,P,73,4603,1,63.1,40,54.8,29,26.3,0,4,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
30,Britton Colquitt,DEN,P,1,63,0,63.0,0,0.0,1,16.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
31,Kyle Brindza,TB,K,18,1131,0,62.8,12,66.7,5,22.4,0,1,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
31,Pat McAfee,IND,P,77,4836,0,62.8,67,87.0,8,19.5,0,3,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
33,Andrew Franks,MIA,K,66,4138,1,62.7,44,66.7,19,24.1,0,2,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
34,Josh Scobee,PIT,K,20,1251,0,62.6,12,60.0,7,19.7,0,1,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
35,Jordan Gay,BUF,K,77,4815,1,62.5,42,54.5,33,16.7,0,2,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
35,Jason Myers,JAC,K,84,5247,4,62.5,55,65.5,23,24.0,0,5,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
37,Brandon McManus,DEN,K,81,5046,0,62.3,55,67.9,24,20.5,0,3,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
38,Dustin Hopkins,WAS,K,80,4967,1,62.1,52,65.0,25,19.7,0,4,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
39,Caleb Sturgis,PHI,K,68,4208,1,61.9,39,57.4,26,20.5,0,2,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
40,Josh Brown,NYG,K,93,5727,1,61.6,37,39.8,54,20.3,1,2,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
41,Marquette King,OAK,P,2,123,0,61.5,0,0.0,2,20.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
42,Jon Ryan,SEA,P,1,61,0,61.0,0,0.0,1,22.0,0,0,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
43,Cody Parkey,PHI,K,13,792,1,60.9,3,23.1,8,21.5,0,1,0,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
44,Robbie Gould,CHI,K,83,5036,1,60.7,39,47.0,39,25.2,2,4,1,http://www.nfl.com/stats/categorystats?tabSeq=0&season=2015&seasonType=REG&d-447263-n=2&d-447263-o=2&statisticCategory=KICKING&conference=null&d-447263-p=1,2015,REG,KICKING,2
