/player/caleb-mcsurdy?position=LB, Caleb McSurdy, ILB, Montana,  2012
/player/caleb-miller?position=LB, Caleb Miller, ILB, Arkansas,  2004
/player/cameron-sheffield?position=LB, Cameron Sheffield, OLB, Troy,  2010
/player/cameron-vaughn?position=LB, Cameron Vaughn, OLB, LSU,  2006
/player/cameron-wake?position=LB, Cameron Wake, OLB, Penn State,  2005
/player/carl-bradford?position=LB, Carl  Bradford, OLB, Arizona State,  2014
/player/carl-ihenacho?position=LB, Carl Ihenacho, OLB, San Jose State,  2010
/player/carlos-polk?position=LB, Carlos Polk, ILB, Nebraska,  2001
/player/casey-matthews?position=LB, Casey Matthews, ILB, Oregon,  2011
/player/cassanova-mckinzy?position=LB, Cassanova McKinzy, ILB, Auburn,  2016
/player/cedric-pittman?position=LB, Cedric Pittman, OLB, Nevada,  2000
/player/chad-greenway?position=LB, Chad Greenway, OLB, Iowa,  2006
/player/chad-kelsay?position=LB, Chad Kelsay, OLB, Nebraska,  1999
/player/charlton-keith?position=LB, Charlton Keith, OLB, Kansas,  2006
/player/chase-thomas?position=LB, Chase Thomas, OLB, Stanford,  2013
/player/chaun-thompson?position=LB, Chaun Thompson, OLB, West Texas A&M,  2003
/player/chike-okeafor?position=LB, Chike Okeafor, OLB, Purdue,  1999
/player/chris-borland?position=LB, Chris  Borland, ILB, Wisconsin,  2014
/player/chris-carter?position=LB, Chris Carter, OLB, Fresno State,  2011
/player/chris-claiborne?position=LB, Chris Claiborne, ILB, USC,  1999
/player/chris-clemons?position=LB, Chris Clemons, OLB, Georgia,  2003
/player/chris-galippo?position=LB, Chris Galippo, ILB, USC,  2012
/player/chris-jones?position=LB, Chris Jones, OLB, Clemson,  1999
/player/chris-white-2011?position=LB, Chris White, ILB, Mississippi State,  2011
/player/christian-jones?position=LB, Christian Jones, ILB, Florida State,  2014
/player/clark-haggans?position=LB, Clark Haggans, OLB, Colorado State,  2000
/player/christian-kirksey?position=LB, Christian Kirksey, OLB, Iowa,  2014
/player/clay-matthews?position=LB, Clay Matthews, OLB, USC,  2009
/player/cliff-avril?position=LB, Cliff Avril, OLB, Purdue,  2008
/player/clifton-smith?position=LB, Clifton Smith, ILB, Syracuse,  2003
/player/clint-ingram?position=LB, Clint Ingram, OLB, Oklahoma,  2006
/player/clint-sintim?position=LB, Clint Sintim, OLB, Virginia,  2009
/player/cody-brown?position=LB, Cody Brown, OLB, Connecticut,  2009
/player/cody-glenn?position=LB, Cody Glenn, OLB, Nebraska,  2009
/player/cody-spencer?position=LB, Cody Spencer, ILB, North Texas,  2004
/player/brandon-spoon?position=LB, Brandon Spoon, ILB, North Carolina,  2001
/player/brendon-ayanbadejo?position=LB, Brendon Ayanbadejo, OLB, UCLA,  1999
/player/brian-allen?position=LB, Brian Allen, OLB, Florida State,  2001
/player/brian-cushing?position=LB, Brian Cushing, OLB, USC,  2009
/player/brian-rogers?position=LB, Brian Rogers, ILB, Oregon State,  1999
/player/brian-rolle?position=LB, Brian Rolle, OLB, Ohio State,  2011
/player/brian-smith?position=LB, Brian Smith, OLB, UAB,  1999
/player/brian-urlacher?position=LB, Brian Urlacher, OLB, New Mexico,  2000
/player/brooks-ellis?position=LB, Brooks Ellis, ILB, Arkansas,  2017
/player/brooks-reed?position=LB, Brooks Reed, OLB, Arizona,  2011
/player/bruce-carter?position=LB, Bruce Carter, OLB, North Carolina,  2011
/player/bruce-davis?position=LB, Bruce Davis, OLB, UCLA,  2008
/player/bruce-irvin?position=LB, Bruce Irvin, OLB, West Virginia,  2012
/player/bruce-miller?position=LB, Bruce Miller, OLB, UCF,  2011
/player/bruce-taylor?position=LB, Bruce Taylor, OLB, Virginia Tech,  2013
/player/bryan-hickman?position=LB, Bryan Hickman, OLB, Kansas State,  2004
/player/bryan-jones?position=LB, Bryan Jones, OLB, Oregon,  1999
/player/bryan-kehl?position=LB, Bryan Kehl, OLB, BYU,  2008
/player/bryan-smith?position=LB, Bryan Smith, OLB, McNeese State,  2008
/player/bryce-hager?position=LB, Bryce Hager, ILB, Baylor,  2015
/player/colby-bockwoldt?position=LB, Colby Bockwoldt, OLB, BYU,  2004
/player/colin-mccarthy?position=LB, Colin McCarthy, ILB, Miami,  2011
/player/cols-colas?position=LB, Cols Colas, OLB, Virginia Tech,  2004
/player/connor-barwin?position=LB, Connor Barwin, OLB, Cincinnati,  2009
/player/connor-harris?position=LB, Connor Harris, ILB, Lindenwood,  2017
/player/corey-atkins?position=LB, Corey Atkins, OLB, South Carolina,  2000
/player/corey-moore?position=LB, Corey Moore, OLB, Virginia Tech,  2000
/player/cornelius-wortham?position=LB, Cornelius Wortham, OLB, Alabama,  2005
/player/cory-littleton?position=LB, Cory Littleton, OLB, Washington,  2016
