week	team1	team2	home	what row do we find team1 in team2	what is team 2 in the previous row	does team1 in first row = team2 in dup row?	row number
4	NYJ	JAC	TRUE	5	NYJ	TRUE	121
4	OAK	DEN	FALSE	32	OAK	TRUE	122
4	PHI	LAC	FALSE	33	PHI	TRUE	123
4	PIT	BAL	FALSE	9	PIT	TRUE	124
4	SEA	IND	TRUE	13	SEA	TRUE	125
4	SF	ARI	FALSE	6	SF	TRUE	126
4	TB	NYG	TRUE	20	TB	TRUE	127
4	TEN	HOU	FALSE	26	TEN	TRUE	128
4	WAS	KC	FALSE	27	WAS	TRUE	129
5	ARI	PHI	FALSE	12	ARI	TRUE	130
5	ATL	BYE	TRUE	7	ATL	TRUE	131
5	BAL	OAK	FALSE	8	BAL	TRUE	132
5	BUF	CIN	FALSE	25	BUF	TRUE	133
5	CAR	DET	FALSE	30	CAR	TRUE	134
5	CHI	MIN	TRUE	3	CHI	TRUE	135
5	CIN	BUF	TRUE	4	CIN	TRUE	136
5	CLE	NYJ	TRUE	28	CLE	TRUE	137
5	DAL	GB	TRUE	24	DAL	TRUE	138
5	DEN	BYE	TRUE	18	DEN	TRUE	139
5	DET	CAR	TRUE	2	DET	TRUE	140
5	GB	DAL	FALSE	29	GB	TRUE	141
5	HOU	KC	TRUE	16	HOU	TRUE	142
5	IND	SF	TRUE	19	IND	TRUE	143
5	JAC	PIT	FALSE	14	JAC	TRUE	144
5	KC	HOU	FALSE	22	KC	TRUE	145
5	LAC	NYG	FALSE	11	LAC	TRUE	146
5	LAR	SEA	TRUE	15	LAR	TRUE	147
5	MIA	TEN	TRUE	31	MIA	TRUE	148
5	MIN	CHI	FALSE	23	MIN	TRUE	149
5	NE	TB	FALSE	17	NE	TRUE	150
5	NO	BYE	TRUE	21	NO	TRUE	151
5	NYG	LAC	TRUE	10	NYG	TRUE	152
5	NYJ	CLE	FALSE	5	NYJ	TRUE	153
5	OAK	BAL	TRUE	32	OAK	TRUE	154
5	PHI	ARI	TRUE	33	PHI	TRUE	155
5	PIT	JAC	TRUE	9	PIT	TRUE	156
5	SEA	LAR	FALSE	13	SEA	TRUE	157
5	SF	IND	FALSE	6	SF	TRUE	158
5	TB	NE	TRUE	20	TB	TRUE	159
5	TEN	MIA	FALSE	26	TEN	TRUE	160
5	WAS	BYE	TRUE	27	WAS	TRUE	161
6	ARI	TB	TRUE	12	ARI	TRUE	162
6	ATL	MIA	TRUE	7	ATL	TRUE	163
6	BAL	CHI	TRUE	8	BAL	TRUE	164
6	BUF	BYE	TRUE	25	BUF	TRUE	165
6	CAR	PHI	TRUE	30	CAR	TRUE	166
6	CHI	BAL	FALSE	3	CHI	TRUE	167
6	CIN	BYE	TRUE	4	CIN	TRUE	168
6	CLE	HOU	FALSE	28	CLE	TRUE	169
6	DAL	BYE	TRUE	24	DAL	TRUE	170
6	DEN	NYG	TRUE	18	DEN	TRUE	171
6	DET	NO	FALSE	2	DET	TRUE	172
6	GB	MIN	FALSE	29	GB	TRUE	173
6	HOU	CLE	TRUE	16	HOU	TRUE	174
6	IND	TEN	FALSE	19	IND	TRUE	175
6	JAC	LAR	TRUE	14	JAC	TRUE	176
6	KC	PIT	TRUE	22	KC	TRUE	177
6	LAC	OAK	FALSE	11	LAC	TRUE	178
6	LAR	JAC	FALSE	15	LAR	TRUE	179
6	MIA	ATL	FALSE	31	MIA	TRUE	180
6	MIN	GB	TRUE	23	MIN	TRUE	181
6	NE	NYJ	FALSE	17	NE	TRUE	182
6	NO	DET	TRUE	21	NO	TRUE	183
6	NYG	DEN	FALSE	10	NYG	TRUE	184
6	NYJ	NE	TRUE	5	NYJ	TRUE	185
6	OAK	LAC	TRUE	32	OAK	TRUE	186
6	PHI	CAR	FALSE	33	PHI	TRUE	187
6	PIT	KC	FALSE	9	PIT	TRUE	188
6	SEA	BYE	TRUE	13	SEA	TRUE	189
6	SF	WAS	FALSE	6	SF	TRUE	190
6	TB	ARI	FALSE	20	TB	TRUE	191
6	TEN	IND	TRUE	26	TEN	TRUE	192
6	WAS	SF	TRUE	27	WAS	TRUE	193
7	ARI	LAR	FALSE	12	ARI	TRUE	194
7	ATL	NE	FALSE	7	ATL	TRUE	195
7	BAL	MIN	FALSE	8	BAL	TRUE	196
7	BUF	TB	TRUE	25	BUF	TRUE	197
7	CAR	CHI	FALSE	30	CAR	TRUE	198
7	CHI	CAR	TRUE	3	CHI	TRUE	199
7	CIN	PIT	FALSE	4	CIN	TRUE	200
7	CLE	TEN	TRUE	28	CLE	TRUE	201
7	DAL	SF	FALSE	24	DAL	TRUE	202
7	DEN	LAC	FALSE	18	DEN	TRUE	203
7	DET	BYE	TRUE	2	DET	TRUE	204
7	GB	NO	TRUE	29	GB	TRUE	205
7	HOU	BYE	TRUE	16	HOU	TRUE	206
7	IND	JAC	TRUE	19	IND	TRUE	207
7	JAC	IND	FALSE	14	JAC	TRUE	208
7	KC	OAK	FALSE	22	KC	TRUE	209
7	LAC	DEN	TRUE	11	LAC	TRUE	210
7	LAR	ARI	TRUE	15	LAR	TRUE	211
7	MIA	NYJ	TRUE	31	MIA	TRUE	212
7	MIN	BAL	TRUE	23	MIN	TRUE	213
7	NE	ATL	TRUE	17	NE	TRUE	214
7	NO	GB	FALSE	21	NO	TRUE	215
7	NYG	SEA	TRUE	10	NYG	TRUE	216
7	NYJ	MIA	FALSE	5	NYJ	TRUE	217
7	OAK	KC	TRUE	32	OAK	TRUE	218
7	PHI	WAS	TRUE	33	PHI	TRUE	219
7	PIT	CIN	TRUE	9	PIT	TRUE	220
7	SEA	NYG	FALSE	13	SEA	TRUE	221
7	SF	DAL	TRUE	6	SF	TRUE	222
7	TB	BUF	FALSE	20	TB	TRUE	223
7	TEN	CLE	FALSE	26	TEN	TRUE	224
7	WAS	PHI	FALSE	27	WAS	TRUE	225
8	ARI	BYE	TRUE	12	ARI	TRUE	226
8	ATL	NYJ	FALSE	7	ATL	TRUE	227
8	BAL	MIA	TRUE	8	BAL	TRUE	228
8	BUF	OAK	TRUE	25	BUF	TRUE	229
8	CAR	TB	FALSE	30	CAR	TRUE	230
8	CHI	NO	FALSE	3	CHI	TRUE	231
8	CIN	IND	TRUE	4	CIN	TRUE	232
8	CLE	MIN	TRUE	28	CLE	TRUE	233
8	DAL	WAS	FALSE	24	DAL	TRUE	234
8	DEN	KC	FALSE	18	DEN	TRUE	235
8	DET	PIT	TRUE	2	DET	TRUE	236
8	GB	BYE	TRUE	29	GB	TRUE	237
8	HOU	SEA	FALSE	16	HOU	TRUE	238
8	IND	CIN	FALSE	19	IND	TRUE	239
8	JAC	BYE	TRUE	14	JAC	TRUE	240
8	KC	DEN	TRUE	22	KC	TRUE	241
8	LAC	NE	FALSE	11	LAC	TRUE	242
8	LAR	BYE	TRUE	15	LAR	TRUE	243
8	MIA	BAL	FALSE	31	MIA	TRUE	244
8	MIN	CLE	FALSE	23	MIN	TRUE	245
8	NE	LAC	TRUE	17	NE	TRUE	246
8	NO	CHI	TRUE	21	NO	TRUE	247
8	NYG	BYE	TRUE	10	NYG	TRUE	248
8	NYJ	ATL	TRUE	5	NYJ	TRUE	249
8	OAK	BUF	FALSE	32	OAK	TRUE	250
8	PHI	SF	TRUE	33	PHI	TRUE	251
8	PIT	DET	FALSE	9	PIT	TRUE	252
8	SEA	HOU	TRUE	13	SEA	TRUE	253
8	SF	PHI	FALSE	6	SF	TRUE	254
8	TB	CAR	TRUE	20	TB	TRUE	255
8	TEN	BYE	TRUE	26	TEN	TRUE	256
8	WAS	DAL	TRUE	27	WAS	TRUE	257
9	ARI	SF	FALSE	12	ARI	TRUE	258
9	ATL	CAR	FALSE	7	ATL	TRUE	259
9	BAL	TEN	FALSE	8	BAL	TRUE	260
9	BUF	NYJ	FALSE	25	BUF	TRUE	261
9	CAR	ATL	TRUE	30	CAR	TRUE	262
9	CHI	BYE	TRUE	3	CHI	TRUE	263
9	CIN	JAC	FALSE	4	CIN	TRUE	264
9	CLE	BYE	TRUE	28	CLE	TRUE	265
9	DAL	KC	TRUE	24	DAL	TRUE	266
9	DEN	PHI	FALSE	18	DEN	TRUE	267
9	DET	GB	FALSE	2	DET	TRUE	268
9	GB	DET	TRUE	29	GB	TRUE	269
9	HOU	IND	TRUE	16	HOU	TRUE	270
9	IND	HOU	FALSE	19	IND	TRUE	271
9	JAC	CIN	TRUE	14	JAC	TRUE	272
9	KC	DAL	FALSE	22	KC	TRUE	273
9	LAC	BYE	TRUE	11	LAC	TRUE	274
9	LAR	NYG	FALSE	15	LAR	TRUE	275
9	MIA	OAK	TRUE	31	MIA	TRUE	276
9	MIN	BYE	TRUE	23	MIN	TRUE	277
9	NE	BYE	TRUE	17	NE	TRUE	278
9	NO	TB	TRUE	21	NO	TRUE	279
9	NYG	LAR	TRUE	10	NYG	TRUE	280
9	NYJ	BUF	TRUE	5	NYJ	TRUE	281
9	OAK	MIA	FALSE	32	OAK	TRUE	282
9	PHI	DEN	TRUE	33	PHI	TRUE	283
9	PIT	BYE	TRUE	9	PIT	TRUE	284
9	SEA	WAS	TRUE	13	SEA	TRUE	285
9	SF	ARI	TRUE	6	SF	TRUE	286
9	TB	NO	FALSE	20	TB	TRUE	287
9	TEN	BAL	TRUE	26	TEN	TRUE	288
9	WAS	SEA	FALSE	27	WAS	TRUE	289
10	ARI	SEA	TRUE	12	ARI	TRUE	290
10	ATL	DAL	TRUE	7	ATL	TRUE	291
10	BAL	BYE	TRUE	8	BAL	TRUE	292
10	BUF	NO	TRUE	25	BUF	TRUE	293
10	CAR	MIA	TRUE	30	CAR	TRUE	294
10	CHI	GB	TRUE	3	CHI	TRUE	295
10	CIN	TEN	FALSE	4	CIN	TRUE	296
10	CLE	DET	FALSE	28	CLE	TRUE	297
10	DAL	ATL	FALSE	24	DAL	TRUE	298
10	DEN	NE	TRUE	18	DEN	TRUE	299
10	DET	CLE	TRUE	2	DET	TRUE	300
10	GB	CHI	FALSE	29	GB	TRUE	301
10	HOU	LAR	FALSE	16	HOU	TRUE	302
10	IND	PIT	TRUE	19	IND	TRUE	303
