team	ranking	source	year
ARI	9	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
ATL	22	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
BAL	8	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
BUF	24	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
CAR	13	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
CHI	27	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
CIN	16	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
CLE	31	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
DAL	10	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
DEN	3	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
DET	23	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
GB	25	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
HOU	2	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
IND	28	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
JAC	12	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
KC	7	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
LAC	26	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
LAR	20	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
MIA	17	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
MIN	6	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
NE	4	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
NO	30	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
NYG	5	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
NYJ	29	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
OAK	14	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
PHI	11	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
PIT	15	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
SEA	1	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
SF	32	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
TB	21	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
TEN	19	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
WAS	18	http://bleacherreport.com/articles/2705056-power-ranking-all-32-nfl-defenses-post-draft	2017
